objectid,filename,youtubeid,title,creator,contributor,date,description,subject,location,referencedlocation,latitude,longitude,publisher,source,type,format,language,rights
mya00011,,https://youtu.be/ylY1PxJyqYs,Sarayaku muskuy,"Gualinga Montalvo, Gerardo;Sarayaku Yachakguna","Carney, Lisa Warren (interviewer)",6/30/2015,"Gerardo Gualinga Montalvo tells a group of American scholars the story of the muskuy vision that the first yachakguna of Sarayaku experience that foretold that the community would survive future calamity. The story describe the first yachaks taking ayahuasca to induce their vision, seeing corn (sara) in a river (yaku), then seeing five macaws, and seeing that the community is protected by five powerful mountains (urku). This is a story passed down by generations. Those present included Gualinga's children, Lisa Carney, Georgia Ennis, Bryan Rupert, and Bill Gentile, who were present in Sarayaku on a paid tour. Carney, Ennis, and Rupert spoke Kichwa and all four interivewed Gualinga, who was the chief security guard and tour guide at the time through Papangu Tours, located in Puyo, Ecuador.","muskuy;dream narrative;Ayahuasca;ayawaska;Healer (""knower"");yachak;shaman;beginning times;kallari huras;Sarayaku;macaws;wakamayu;moutains;urku;corn;sara;spiderweb;araña wasi;midday;chaupi punzha;ancestral knowledge-Sarayaku;ruku yayaguna yachay-Sarayakumanda","Sarayaku, Ecuador","Sarayaku,Ecuador;Canelos,Ecaudor",-1.732646648,", -77.48320429907365","University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa,"Copyright 2020, Lisa W. Carney"
mya00012,2016_07_13_11_29_30.jpg,,Unpainted bird instrument and miniature mucawas,"Dagua Toqueton, Benedicta Elodia;Dagua Toqueton, Belgica","Carney, Lisa Warren (photographer)",7/13/2016,Ceramics that are not fully painted or yet put into the kiln. ,clay;pottery;manga allpa;Women's knowledge;warmi yachay,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00013,2016_07_13_11_29_34.jpg,,Catfish ceramic,"Dagua Toqueton, Benedicta Elodia","Carney, Lisa Warren (photographer)",7/13/2016,"Ceramic in the form of a catfish, or bagri is painted but not yet hardened in the kiln fire.",clay;pottery;manga allpa;Women's knowledge;warmi yachay;bagri;catfish,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00014,2016_07_13_11_29_44.jpg,,Mukawa of boa surrounding eggs,"Dagua Toqueton, Benedicta Elodia","Carney, Lisa Warren (photographer)",7/13/2016,"Mukawa, or drinking vessel with design of an anaconda coiled around edge, with eggs in the center. The vessel is painted but not yet hardened in the kiln fire.",clay;pottery;manga allpa;Women's knowledge;warmi yachay;anaconda;amarun,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00015,2016_07_14_16_30_49.jpg,,Pottery Making Implements,"Dagua Toqueton, Benedicta Elodia;Dagua Toqueton, Belgica","Carney, Lisa Warren (photographer)",7/13/2016,"Assorted implements for create pottery: two stones for polishing, a stick (possibly) for creating a paint brush, and a piece of gord for smoothing edges of wet ceramics.",clay;pottery;manga allpa;Women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00016,2016_07_14_16_31_07.jpg,,Paint brushes in black pigment,"Dagua Toqueton, Benedicta Elodia;Dagua Toqueton, Belgica","Carney, Lisa Warren (photographer)",7/13/2016,"Four fine paint brushes rest in black pigment. The sticks of the brushes are the size of a toothpick, and the brush itself is made from women's own hair. the length and narrow width of the brush allows for fine parellel lines that are characteristic of Kichwa pottery.",clay;pottery;manga allpa;Women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00017,2016_07_15_10_07_18.jpg,,Elodia applies gloss,"Dagua Toquetonn, Benedicta Elodia","Carney, Lisa Warren (photographer)",7/15/2016,(Benedicta) Elodia Dagua Toquetón applies a resin gloss to a minature mukawa that has just come out of the kiln fire.,clay;pottery;manga allpa;Women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00018,p1000940.jpg,,Lower level meeting area at Iyarina Lodge,Andi Family,"Carney, Lisa Warren (photographer)",6/27/2012,"External photo of the smaller gathering area and fire pit at Iyarina Lodge, with traditional style thatched roofing.",Iyarina Lodge;Kichwa building; thatched roof,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00020,p1000960.jpg,,Water tanks behind dorms,Andi Family,"Carney, Lisa Warren (photographer)",6/27/2012,Water tanks used for piped water in dorm buildings at the Iyarina Lodge. The water source is a distance stream upriver.,Iyarina Lodge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00021,2015_07_01_14_47_30.jpg,,View of deforestation from Alas de Socorro plane 2,,"Carney, Lisa Warren (photographer)",7/1/2015,"View from Alas de Socorro plane near Shell, Ecuador, taken on the return flight from Sarayaku, Ecuador. Notable is the increased deforestation compared to the territory closer to Sarayaku and the presence of a paved road.",deforestation;Sarayaku;Pastaza province,"Shell, Ecuador",,-1.506655817,-78.05821471,,,image,image/jpeg,,
mya00022,2015_07_01_14_47_21.jpg,,View of deforestation from Alas de Socorro plane 1,,"Carney, Lisa Warren (photographer)",7/1/2015,"View from Alas de Socorro plane near Shell, Ecuador, taken on the return flight from Sarayaku, Ecuador. Notable is the deforestation compared to the territory closer to Sarayaku and the presence of a paved road.",deforestation;Sarayaku;Pastaza province,"Shell, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00023,2015_07_01_14_36_41.jpg,,View of virgin forest from Alas de Socorro plane,,"Carney, Lisa Warren (photographer)",7/1/2015,"View from Alas de Socorro plane near Saryaku, Ecuador, taken on the return flight from Sarayaku, Ecuador to Shell, Ecuador. This photo is notable in comparison to subsequent photos on the flight that depict deforestation. By contrast, here, is old growth tropical forest.",deforestation;Sarayaku;Pastaza province; old growth forest,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00024,2015_07_01_14_35_04.jpg,,Old and new roofing systems,,"Carney, Lisa Warren (photographer)",7/1/2015,"View from Alas de Socorro plane near Saryaku, Ecuador, taken on the return flight from Sarayaku, Ecuador to Shell, Ecuador. Kichwa community buildings, seen from above, shown a mix of traditional thatched roofing and contemporary metal sheet roofing.",architecture;thatched roof;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00025,2015_07_01_14_34_59.jpg,,Kichwa buildings under construction,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/2015,"View from Alas de Socorro plane near Saryaku, Ecuador, taken on the return flight from Sarayaku, Ecuador to Shell, Ecuador. Kichwa building in traditional style are shown under construction from above.",architecture;thatched roof;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00026,2015_07_01_14_21_26.jpg,,Approach to Sarayaku airstrip,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/2015,Sarayaku community members approach the Alas de Socorro plane at the Sarayaku airstrip.,airplane;airstrip;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00027,2015_07_01_13_51_56.jpg,,Sabino Gualinga and Corina Montalvo at home,"Gualinga, Sabino;Montalvo Corina","Carney, Lisa Warren (photographer)",7/1/2015,"Sarayaku elders and parents of prominent Gualinga Montalvo children, sit in their home in Sarayaku, Ecuador.",Sarayaku;elders,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00028,2015_07_01_10_27_12.jpg,,Barbasco fishing in Sarayaku,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/2015,"Members of the community of Sarayaku fish using the toxin, barbasco, which temporarily stuns fish, allowing for easy collection.  The full community goes out on dugout canoes for the early morning event. ",Sarayaku;traditional fishing methods;barbasco;canoe;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00029,2015_07_01_10_10_30.jpg,,Wading in shallows for fish,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/2015,"Members of the community of Sarayaku fish using the toxin, barbasco, which temporarily stuns fish, allowing for easy collection.  The full community goes out on dugout canoes for the early morning event. ",Sarayaku;traditional fishing methods;barbasco;canoe;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00030,2015_07_01_10_07_13.jpg,,Navigation with a pole,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/2015,A man from Sarayaku wearing an Ecuadorian soccer shirt pushes his canoe through shallow water with a pole.,Sarayaku;traditional fishing methods;canoe;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00031,2015_06_30_18_11_28.jpg,,Sabino Gualinga crosses Sarayaku bridge,"Gualinga,Sabino","Carney, Lisa Warren (photographer)",6/30/2015,"Sarayaku elder and yachak, Sabino Gualingo, crosses the walking bridge near his home.",bridge;elders;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00032,2015_06_30_18_01_08.jpg,,Playing soccer in Sarayaku,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,Young men from the Sarayaku community play soccer at dusk in the Sarayaku central field.,Soccer;football;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00033,2015_06_30_11_03_39.jpg,,Community satellite,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,Satellite for internet access in Sarayaku,Satellite;technology;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00034,2015_06_30_11_03_21.jpg,,Centro de Salud Community Health Center,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,The Sarayaku community health center with nurse and dental services provided by non-community Ecuadorians.,Western medicine,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00035,2015_06_30_10_51_34.jpg,,Sarayaku Catholic Church bell,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,"Church bell for the Sarayaku Catholic church. Many community members are practicing Catholics, while others participate in Evangelical services.",Church;Catholicism;churchbell;religion,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00036,2015_06_30_10_49_06.jpg,,Virgin Mary statue with tinaja and rosaries,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,"The figurine of the Virgin Mary inside the Sarayaku Catholic church. Two tinajas (storage vessles) are at her feet, as well as a number of rosaries.",Church;Catholicism;Virgin Mary;rosary;tinaja;religion,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00037,2015_06_30_10_14_30.jpg,,Inside the Sarayaku Casa Comunal,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,Inside the Sarayaku Casa Comunal or Community meeting hall.,Community organization;Sarayaku;Casa comunal,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00038,2015_06_30_10_12_09.jpg,,Outside the Sarayaku Casa Comunal,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,"Outside the Sarayaku Casa Comunal or Community meeting hall, a mural of a woman in traditional dress.",Community organization;Sarayaku;Casa comunal;mural;architecture;thatched roof,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00039,2015_06_30_09_33_41.jpg,,Cooking fire in Gualinga Montalvo home,Gualinga Montalvo family,"Carney, Lisa Warren (photographer)",6/30/2015,The cooking fire where Corina Montalvo prepares wayusa pre-dawn in her home and discussed her dreams with visitors.,wayusa;fire;muskuy,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00040,2015_06_30_08_44_24.jpg,,Collection of tinajas for storing aswa (chicha) ,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/2015,Collection of tinajas for storing aswa (chicha) near the Gualinga Montalvo home,tinaja;aswa;chica;pottery,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
mya00041,2015_06_29_11_58_03.jpg,,Boats near Port of Canelos,,"Carney, Lisa Warren (photographer)",6/29/2015,"Canoes with motors and poles that take travellers to the Sarayaku community. Sarayaku is only accessibly by foot, canoe, or small aircraft.",canoe;Bobonaza River,"Puerto Canelos, Canelos, Ecuador",,-1.579980302,", -77.719489731721",,,image,image/jpeg,,
